id,nome,email,data_nascimento,genero,logradouro,complemento,unidade,localidade,uf,estado,regiao,ibge,gia,ddd,siafi
5,Carlos Ferreira,carlos.ferreira@email.com,1987-09-30,M,Avenida Borges de Medeiros,de 0681 a 1261 - lado ímpar,,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902.0,NaN,51.0,8801.0
50,Amanda Lima,amanda.lima@email.com,1993-10-06,F,Beco Perdiz,,,Manaus,AM,Amazonas,Norte,1302603.0,NaN,92.0,255.0
51,Kleber Ferreira,kleber.ferreira@email.com,1987-02-22,M,Rua Teófilo Brandão,,,Natal,RN,Rio Grande do Norte,Nordeste,2408102.0,NaN,84.0,1761.0
52,Raquel Souza,raquel.souza@email.com,1994-06-14,F,Avenida Prefeito Osmar Cunha,,,Florianópolis,SC,Santa Catarina,Sul,4205407.0,NaN,48.0,8105.0
53,Gerson Silva,gerson.silva@email.com,1986-11-27,M,Travessa Vinte e Um de Abril,,,Cuiabá,MT,Mato Grosso,Centro-Oeste,5103403.0,NaN,65.0,9067.0
56,Fernanda Costa,fernanda.costa@email.com,1995-01-11,F,Avenida Professor Alfredo Balena,lado par,,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200.0,NaN,31.0,4123.0
57,Renato Oliveira,renato.oliveira@email.com,1990-07-23,M,Travessa Padre Júlio de Campos,,,Curitiba,PR,Paraná,Sul,4106902.0,NaN,41.0,7535.0
58,Gabriele Lima,gabriele.lima@email.com,1993-05-30,F,Rua dos Andradas,até 419/420,,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902.0,NaN,51.0,8801.0
59,Patrick Almeida,patrick.almeida@email.com,1987-12-14,M,Quadra SBN Quadra 1,,,Brasília,DF,Distrito Federal,Centro-Oeste,5300108.0,NaN,61.0,9701.0
6,Juliana Lima,juliana.lima@email.com,1995-01-18,F,Praça do Buriti,,,Brasília,DF,Distrito Federal,Centro-Oeste,5300108.0,NaN,61.0,9701.0
60,Livia Rocha,livia.rocha@email.com,1996-02-08,F,Rua Desembargador Gonçalves,,,Salvador,BA,Bahia,Nordeste,2927408.0,NaN,71.0,3849.0
61,Mauricio Silva,mauricio.silva@email.com,1989-08-16,M,Rua Ulhoa Cintra,,,Recife,PE,Pernambuco,Nordeste,2611606.0,NaN,81.0,2531.0
62,Natalia Santos,natalia.santos@email.com,1994-04-29,F,Rua Vinte e Cinco de Março,,,Fortaleza,CE,Ceará,Nordeste,2304400.0,NaN,85.0,1389.0
63,Edson Costa,edson.costa@email.com,1986-10-12,M,Beco da Legião,,,Manaus,AM,Amazonas,Norte,1302603.0,NaN,92.0,255.0
64,Marisa Oliveira,marisa.oliveira@email.com,1991-06-25,F,Rua Alan Kardec,,,Natal,RN,Rio Grande do Norte,Nordeste,2408102.0,NaN,84.0,1761.0
65,Claudio Ferreira,claudio.ferreira@email.com,1987-09-03,M,Rua Antônio Dib Mussi,,,Florianópolis,SC,Santa Catarina,Sul,4205407.0,NaN,48.0,8105.0
66,Rosana Souza,rosana.souza@email.com,1992-11-21,F,Avenida Marechal Deodoro,de 949/950 a 1898/1899,,Cuiabá,MT,Mato Grosso,Centro-Oeste,5103403.0,NaN,65.0,9067.0
69,Tiago Costa,tiago.costa@email.com,1990-02-14,M,Alameda Ezequiel Dias,,,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200.0,NaN,31.0,4123.0
70,Yasmin Oliveira,yasmin.oliveira@email.com,1993-08-26,F,Rua Doutor Claudino dos Santos,,,Curitiba,PR,Paraná,Sul,4106902.0,NaN,41.0,7535.0
71,Rafael Lima,rafael.lima@email.com,1987-04-11,M,Rua dos Andradas,de 1402 a 1580 - lado par,,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902.0,NaN,51.0,8801.0
72,Juliana Almeida,juliana.almeida@email.com,1994-12-03,F,Quadra SBN Quadra 2,,,Brasília,DF,Distrito Federal,Centro-Oeste,5300108.0,NaN,61.0,9701.0
73,Douglas Silva,douglas.silva@email.com,1988-10-18,M,Vila Ferraro,,,Salvador,BA,Bahia,Nordeste,2927408.0,NaN,71.0,3849.0
74,Veronica Rocha,veronica.rocha@email.com,1992-05-22,F,Rua Frei Vicente do Salvador,,,Recife,PE,Pernambuco,Nordeste,2611606.0,NaN,81.0,2531.0
75,Sergio Santos,sergio.santos@email.com,1985-09-09,M,Rua Deputado João Lopes,,,Fortaleza,CE,Ceará,Nordeste,2304400.0,NaN,85.0,1389.0
76,Marina Costa,marina.costa@email.com,1996-03-15,F,Travessa Nhamundá,,,Manaus,AM,Amazonas,Norte,1302603.0,NaN,92.0,255.0
77,Antonio Oliveira,antonio.oliveira@email.com,1989-11-28,M,Rua Trairi,de 761/762 a 805/806,,Natal,RN,Rio Grande do Norte,Nordeste,2408102.0,NaN,84.0,1761.0
78,Silvia Ferreira,silvia.ferreira@email.com,1993-06-12,F,Rua Dom Jaime Câmara,,,Florianópolis,SC,Santa Catarina,Sul,4205407.0,NaN,48.0,8105.0
79,Fabiano Souza,fabiano.souza@email.com,1987-01-04,M,Praça Visconde de Taunay,,,Cuiabá,MT,Mato Grosso,Centro-Oeste,5103403.0,NaN,65.0,9067.0
8,Fernanda Rocha,fernanda.rocha@email.com,1991-06-25,F,Avenida Calógeras,,,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557.0,NaN,21.0,6001.0
9,Lucas Martins,lucas.martins@email.com,1989-08-14,M,Avenida Rômulo Maiorana,até 638/639,,Belém,PA,Pará,Norte,1501402.0,NaN,91.0,427.0
